barangay,osm_name,match_type,area_km2
Bago Aplaya,Bago Aplaya,exact,2.1931683024701143
Bago Gallera,Bago Gallera,exact,9.148050380769511
Baliok,Baliok,exact,2.615961821948404
Bucana,76-A Bucana,alias,4.602254964819464
Catalunan Grande,Catalunan Grande,exact,15.603350445732806
Catalunan Pequeño,Catalunan Pequeño,exact,6.6142861813373
Dumoy,Dumoy,exact,5.2684105381569655
Langub,Langub,exact,9.429965403558237
Ma-a,Ma-a,exact,10.430009939741709
Magtuod,Magtuod,exact,6.8908980874919745
Matina Aplaya,75-A Matina Aplaya,alias,3.4179509282968836
Matina Crossing,74-A Matina Crossing,alias,4.907035667208568
Matina Pangi,Matina Pangi,exact,5.881873431683787
Talomo,Talomo Proper,exact,6.453434111476941
